Site,Title,Performers,Rating,Director,Description,Runtime,Release Date,Year,Pictures,Video URL
Blacked,College Hotties Get Plowed In Hardcore Orgy,"MELANIE MARIE, DELLA CATE, HAZEL MOORE, ISIAH MAXWELL, HOLLYWOOD CASH, JAX SLAYHER",9.6,Derek Dozer,"Melanie, Hazel, and Della worked hard all semester, and now these college girls are on their first vacation unsupervised. They're all responsible, but that doesn't mean they can't have fun at their hotel, and what their boyfriends don't know won't hurt them.",39:07:00,02-Jul-26,2026,107,https://www.blacked.com/videos/college-hotties-get-plowed-in-hardcore-orgy
Blacked,Tight Little Stunner Squeals While Riding BBC,"HAZEL HEART, JASON LUV",8.9,Derek Dozer,"Haze is spoken for, but when she meets her new neighbor, she learns the difference between ""settled"" and ""settling."" Time for this cutie to trade up...",32:01:00,27-Jun-26,2026,74,https://www.blacked.com/videos/tight-little-stunner-squeals-while-riding-bbc
Blacked,MILFs Eva and Phoenix Get Fucked In Rough Foursome,"PHOENIX MARIE, EVA ANGELINA, DAMION DAYSKI, CHOCOLATE ROD",8,Derek Dozer,"No matter how far they go, ex-trophy wives Phoenix and Eva can't outrun their deepest desire, so they might as well face it head-on.",34:23:00,22-Jun-26,2026,80,https://www.blacked.com/videos/milfs-eva-and-phoenix-get-fucked-in-rough-foursome
Blacked,Tiny Fresh Face Lets Jason Luv Fill Her Up,"SUMMER KLINE, JASON LUV",9,Derek Dozer,"Summer is housesitting between semesters, and crushing hard on the homeowner. Her boss is big, rich... everything her boyfriend isn't. But Summer's boyfriend isn't around during work hours...",34:27:00,17-Jun-26,2026,68,https://www.blacked.com/videos/tiny-fresh-face-lets-jason-luv-fill-her-up
Blacked,Pull Chapter 5: Flight,"HOPE HEAVEN, TROY FRANCISCO",8.7,Julia Grandi,"Confession, persuasion, obsession: Hope escapes a web of manipulation only to discover the game she played wrecked a relationship. Now she has a new target in need of seducing.. or maybe she's chasing the thrill of deceit. The conclusion to our five-part mindfuck thriller.",47:20:00,12-Jun-26,2026,100,https://www.blacked.com/videos/pull-chapter-5-flight
Blacked,Bored Housewife Gets Huge BBC Creampie,"AZUL HERMOSA, CHOCOLATE ROD",8.2,Derek Dozer,"Azul needs results, and as nice as her husband might be, he isn't giving them to her. So this wife calls in a ringer to bring some positivity to the situation.",28:18:00,07-Jun-26,2026,64,https://www.blacked.com/videos/bored-housewife-gets-huge-bbc-creampie
Blacked,Petite Stunner Gets DPd,"SOPHIE WEBER, FREDDY GONG, MANNIE COCO",8.6,Julia Grandi,"Sophie's man isn't in the mood for action, but he does have an urge to watch. Sophie, on the other hand, wants to get down and get wild... if her man is no help, she'll find two men to test her limits.",42:48:00,02-Jun-26,2026,102,https://www.blacked.com/videos/petite-stunner-gets-dpd
Blacked,Petite Tight Blonde Gets Creampied,"ASHLEY ALEXANDER, HOLLYWOOD CASH",8.7,Laurent Sky,"Ashley has an audition dancing for a major rap artist. He has peak charisma, but Ashley has moves all her own.",45:14:00,28-May-26,2026,64,https://www.blacked.com/videos/petite-tight-blonde-gets-creampied
Blacked,Flawless Besties Eve And Kelly Ride BBC,"EVE SWEET, KELLY COLLINS, JAX SLAYHER",9.4,Julia Grandi,"Eve and Kelly are the best of friends, and nobody fights like besties. When these two compete over the same guy, the only way to settle it is to see if he's equipped to satisfy both these beauties.",57:25:00,23-May-26,2026,77,https://www.blacked.com/videos/flawless-besties-eve-and-kelly-ride-bbc
Blacked,Petite Cheater Gets Stretched To Her Limit,"LUCY MOCHI, HOLLYWOOD CASH",9.3,Derek Dozer,"Lucy has a gig shooting a music video for a guy who FUCKS. His last single was about fucking girls with boyfriends. And lucky for Lucy, she has a jealous one at home...",37:19:00,18-May-26,2026,78,https://www.blacked.com/videos/petite-cheater-gets-stretched-to-her-limit
Blacked,Pull Chapter 2: Pairing,"HOPE HEAVEN, MELANIE MARIE, FREDDY GONG, DIMITRI SHADOW",9.3,Julia Grandi,"Obsession, manipulation, satisfaction: after Hope's new lover disappears, she strikes up an unexpected friendship with a playgirl, Melanie. Melanie teaches Hope how to wrap men around her finger, and all their teasing lands them guys who like to play as hard as they do. Chapter II of our five-part psychological thriller. Follow the mindfuck on TUSHY.",51:26:00,13-May-26,2026,106,https://www.blacked.com/videos/pull-chapter-2-pairing
Blacked,Married Blonde Ditches Hubby For BBC,"CECELIA TAYLOR, ANTON HARDEN",9.2,Laurent Sky,"Cecilia's husband isn't satisfying her, and now she's on the prowl. This petite blonde thinks she might have found a prospect who can hit the spots that are going overlooked at home.",34:58:00,08-May-26,2026,69,https://www.blacked.com/videos/married-blonde-ditches-hubby-for-bbc
Blacked,Boss Babe Claims Ownership Over BBC,"NICOLE DOSHI, HOLLYWOOD CASH",8.7,Laurent Sky,"Girlboss Nicole gets what she wants, even if what she wants isn't for anyone's benefit but her own. Right now, this office hottie wants to promote an employee and give herself a BIG benefit package.",37:43:00,03-May-26,2026,65,https://www.blacked.com/videos/boss-babe-claims-ownership-over-bbc
Blacked,Plaything Gets Dominated By Her Sugar Daddy,"MELZTUBE, JASON LUV",7.4,Derek Dozer,"Melztube has an arrangement, but it's not what you'd expect: her sugar daddy is the reason she got into this business in the first place, and this voluptuous girl is more than happy to fulfil her end of the bargain... maybe she should be paying him.",33:37:00,28-Apr-26,2026,70,https://www.blacked.com/videos/plaything-gets-dominated-by-her-sugar-daddy
Blacked,BBC Makes Chloe Scream For More,"CHLOE ROSE, ROB PIPER",9,Laurent Sky,"Chloe knows how to push buttons, and that's why her man keeps her around: they both love drama. Enough teasing will earn this blonde troublemaker the kind of scolding she enjoys.",30:31:00,23-Apr-26,2026,52,https://www.blacked.com/videos/bbc-makes-chloe-scream-for-more
Blacked,Cheating Wife Lilly Treats Herself To A Massive Cock,"LILLY BELL, JAX SLAYHER",9.6,Laurent Sky,"Lilly should have seen it coming from a mile away: now that this blonde is settled into a career and a stable marriage to an optometrist, of course she wants to have fun with the first real stud to come her way. For Lilly, cheating is easy: keeping her glasses clean is the hard part.",48:45:00,18-Apr-26,2026,74,https://www.blacked.com/videos/cheating-wife-lilly-treats-herself-to-a-massive-cock
Blacked,Curvy Cutie Rissa Gets BBC Tag-Teamed,"RISSA MAY, ISIAH MAXWELL, HOLLYWOOD CASH",9.2,Derek Dozer,"Rissa is interviewing with the hottest real estate brokerage in town. Moving property isn't always simple, but Rissa has a talent for helping clients picture a space's potential, and if she can demonstrate that she'll get the job in a flash.",33:18:00,13-Apr-26,2026,73,https://www.blacked.com/videos/curvy-cutie-rissa-gets-bbc-tag-teamed
